Domain Name,Domain Type,Agency,City,Parish
nlj.gov.jm,Federal Agency,National Library of Jamaica,,
nsippregistry.gov.jm,Federal Agency,National Security Interest in Personal Property Registry of Jamaica,,
nswma.gov.jm,Federal Agency,National Solid Waste Management Authority,,
nsrs.gov.jm,Federal Agency,National Student Registration System,,
nwa.gov.jm,Federal Agency,National Works Agency,,
nerha.gov.jm,Federal Agency,North East Regional Health Authority,,
ocr.gov.jm,Federal Agency,Office of the Children’s Registry,,
ocg.gov.jm,Federal Agency,Office of the Contractor General,,
dpp.gov.jm,Federal Agency,Office of the Director of Public Prosecutions,,
nirafacts.gov.jm,Federal Agency,Office of the Prime Minister,,
opm.gov.jm,Federal Agency,Office of the Prime Minister of Jamaica,,
opmtv.gov.jm,Federal Agency,Office of the Prime Minister of Jamaica TV,,
opd.gov.jm,Federal Agency,Office of the Public Defender of Jamaica,,
osc.gov.jm,Federal Agency,Offices of the Services Commissions,,
parishcourt.gov.jm,Federal Agency,Parish Courts of Jamaica,,
pica.gov.jm,Federal Agency,"Passport, Immigration & Citizenship Agency",,
www.pcapermit.gov.jm,Federal Agency,Pesticide Control Authority,,
pioj.gov.jm,Federal Agency,Planning Institute of Jamaica,,
portlandmc.gov.jm,Federal Agency,Portland Municipal Corporation,,
portmoremc.gov.jm,Federal Agency,Portmore Municipal Council,,
psra.gov.jm,Federal Agency,Private Security Regulation Authority,,
reb.gov.jm,Federal Agency,Real Estate Board of Jamaica,,
rgd.gov.jm,Federal Agency,Registrar General’s Department,,
skillsreturn.gov.jm,Federal Agency,Returning Residents Facilitation Unit,,
rada.gov.jm,Federal Agency,Rural Agricultural Development Authority,,
rep.gov.jm,Federal Agency,Rural Electrification Programme,,
src.gov.jm,Federal Agency,Scientific Research Council,,
scjholdings.gov.jm,Federal Agency,SCJ Holdings Limited,,
sdc.gov.jm,Federal Agency,Social Development Commission,,
serha.gov.jm,Federal Agency,South East Regional Health Authority,,
srha.gov.jm,Federal Agency,Southern Regional Health Authority,,
sma.gov.jm,Federal Agency,Spectrum Management Authority,,
stannmc.gov.jm,Federal Agency,St. Ann Municipal Corporation,,
stcatherinemc.gov.jm,Federal Agency,St. Catherine Municipal Corporation,,
stelizabethmc.gov.jm,Federal Agency,St. Elizabeth Municipal Corporation,,
stjamesmc.gov.jm,Federal Agency,St. James Municipal Corporation,,
stmarymc.gov.jm,Federal Agency,St. Mary Municipal Corporation,,
stthomasmc.gov.jm,Federal Agency,St. Thomas Municipal Corporation,,
statinja.gov.jm,Federal Agency,Statistical Institute of Jamaica,,
supremecourt.gov.jm,Federal Agency,Supreme Court of Jamaica,,
jamaicatax.gov.jm,Federal Agency,Tax Administration Jamaica,,
jamaicatax-online.gov.jm,Federal Agency,Tax Administration Jamaica,,
indecom.gov.jm,Federal Agency,The Independent Commission of Investigations,,
moepmas.gov.jm,Federal Agency,The Performance Management Appraisal System,,
tollauthority.gov.jm,Federal Agency,Toll Authority of Jamaica,,
tourism.gov.jm,Federal Agency,Tourism Product Development Company Ltd.,,
tradeboard.gov.jm,Federal Agency,Trade Board Ltd.,,
trelawnymc.gov.jm,Federal Agency,Trelawny Municipal Corporation,,
usf.gov.jm,Federal Agency,Universal Service Fund,,
uhwi.gov.jm,Federal Agency,University Hospital of the West Indies,,
vision2030.gov.jm,Federal Agency,Vision 2030 Jamaica,,
wra.gov.jm,Federal Agency,Water Resources Authority,,
wrha.gov.jm,Federal Agency,Western Regional Health Authority,,
westmorelandmc.gov.jm,Federal Agency,Westmoreland Municipal Corporation,,
